"RELATION,LEFTTERM,RIGHTTERM,COUNT"
"sibling,multi rotor,fixed_wing,8"
"synonym,aerial vehicles,UAVs,8"
"synonym,reporting services,SSRS,8"
"synonym,special flight operations certificate,SFOC,8"
"synonym,ground control stations,GCSs,8"
"synonym,unique identification number,UIN,8"
"synonym,honey bee,apis_mellifera,8"
"ancestor,drone manufacturers,DJI,8"
"synonym,RTF,ready_to_fly,8"
"synonym,simultaneous localization and mapping,SLAM,8"
"synonym,instrument flight rules,IFR,8"
"synonym,software in the loop,SITL,8"
"synonym,federal communications commission,FCC,8"
"ancestor,flight modes,point_of_interest,8"
"synonym,micro air vehicle,MAV,8"
"synonym,degrees of freedom,DOF,8"
"synonym,normalized difference vegetation index,NDVI,8"
"synonym,visual flight rules,VFR,8"
"synonym,ground control point,GCP,8"
"synonym,transportation security administration,TSA,8"
"synonym,nasa marshall space flight center,MSFC,7"
"synonym,comprehensive statistical process control,SPC,7"
"synonym,region of interest,ROI,7"
"synonym,management systems international,MSI,7"
"ancestor,payment solutions,debit_card,7"
"synonym,central processing unit,CPU,7"
"synonym,statistical process control,SPC,7"
"synonym,uav traffic management,UTM,7"
"synonym,geographic information system,GIS,7"
"synonym,augmented reality,AR,7"
"sibling,national security,foreign_policy,7"
"synonym,dubai civil aviation authority,DCAA,7"
"synonym,application programming interface,API,7"
"synonym,nominal normality test,anderson_darling,7"
"synonym,government accountability office,GAO,7"
"synonym,israel aerospace industries,IAI,7"
"synonym,world food programme,WFP,7"
"synonym,local area network,LAN,7"
"synonym,anti uav defence system,AUDS,7"
"synonym,dot rulemaking advisory committee,ARAC,7"
"synonym,electronic speed controller,ESC,7"
"synonym,irish aviation authority,IAA,7"
"ancestor,asia pacific region,uav_traffic_management,7"
"synonym,signals intelligence,SIGINT,7"
"synonym,search and rescue,SAR,7"
"synonym,small unmanned aerial systems,SUASs,7"
"synonym,field of view,FOV,7"
"synonym,ms excel,6th_edition,7"
"synonym,unmanned aircraft vehicle,UAV,7"
"synonym,electronic warfare,EW,7"
"synonym,ground control system,GCS,7"
"synonym,battery elimination circuitry,BEC,6"
"synonym,optical transient detector,OTD,6"
"synonym,naval air systems command,NAVAIR,6"
"synonym,carry over airport improvement program,AIP,6"
"synonym,unmanned aircraft vehicles,UAVs,6"
"synonym,xi’an aisheng,ASN,6"
"synonym,lightning mapping array,LMA,6"
"synonym,daylight saving time,DST,6"
"synonym,tactical control system,TCS,6"
"synonym,flight controller,FC,6"
"synonym,field programmable gate array,FPGA,6"
"synonym,DEM,digital_elevation_model,6"
"synonym,digital data link,DDL,6"
"synonym,high energy liquid laser area defense system,HELLADS,6"
"synonym,nondestructive evaluation,NDE,6"
"synonym,unmanned ground vehicle,UGV,6"
"synonym,autonomy levels for unmanned systems,ALFUS,6"
"synonym,safety management system,SMS,6"
"synonym,high altitude long endurance,HALE,6"
"synonym,operation enduring freedom,OEF,6"
"synonym,on screen display,OSD,6"
"synonym,unmanned combat aerial vehicles,UCAVs,6"
"synonym,enterprise architecture,EA,6"
"ancestor,adjusted manually,GSD,6"
"synonym,central intelligence agency,CIA,6"
"synonym,and professional aviation center,APAC,6"
"synonym,micro unmanned aerial vehicles,UAV,6"
"synonym,commercial unmanned aerial systems,UAS,6"
"synonym,message oriented middleware,MOM,6"
"synonym,unmanned air system,UAS,6"
"synonym,light sport aircraft,LSA,6"
"synonym,platforms agriculture unmanned aerial vehicles,UAV,6"
"synonym,lithium polymer batteries,li_po,6"
"synonym,near infrared,NIR,6"
"sibling,law enforcement,homeland_security,6"
"synonym,memorandum of agreement,MOA,6"
"synonym,import digital elevation model,DEM,6"
"synonym,UAS,unmanned_aircraft_systems,6"
"synonym,remotely piloted aerial vehicle,RPAV,6"
"synonym,long endurance,MALE,6"
"sibling,ground control stations,data_links,6"
"synonym,sense and avoid,SAA,6"
"synonym,operation iraqi freedom,OIF,6"
"synonym,high definition,HD,6"
"synonym,COTS,commercial_off_the_shelf,6"
"synonym,high resolution digital surface models,DSMs,6"
"synonym,automation society mediterranean control association,MCA,6"
"synonym,central pattern generator,CPG,6"
"synonym,aerial vehicle,UAV,6"
"synonym,single board computers,SBC,6"
"synonym,quality assurance,QA,6"
"synonym,single european sky,SES,6"
"synonym,charge coupled device,CCD,6"
"synonym,fanconi anemia,FA,6"
"synonym,unmanned aircraft vehicle system,UAVS,6"
"synonym,electronic attack,EA,6"
"synonym,unmanned ground vehicles,UGV,6"
"sibling,remote sensing,spatial_information,6"
"synonym,flight controller board,FCB,6"
"synonym,national highway traffic safety administration,NHTSA,5"
"synonym,consumer electronics show,CES,5"
"synonym,united nations,UN,5"
"synonym,total quality management,TQM,5"
"synonym,lockheed martin integrated sensor is structure,ISIS,5"
"synonym,radio control,RC,5"
"synonym,department of energy,DOE,5"
"synonym,mid atlantic aviation partnership,MAAP,5"
"synonym,software development kit,SDK,5"
"sibling,airspace management,air_traffic_flow_management,5"
"synonym,ROS,robot_operating_system,5"
"synonym,study nasa technical reports server,NTRS,5"
"synonym,service level agreements,SLAs,5"
"synonym,stanford intelligent systems laboratory,SISL,5"
"synonym,aviation administration,FAA,5"
"synonym,large igneous province,LIP,5"
"synonym,unmanned aircraft operator permit,UAOP,5"
"synonym,platforms commercial industrial unmanned aerial vehicles,UAV,5"
"synonym,field test nasa technical reports server,NTRS,5"
"synonym,sensor technology,ERAST,5"
"synonym,radio frequency identification,RFID,5"
"synonym,transport layer security,TLS,5"
"synonym,magnetic susceptibility,AMS,5"
"synonym,aircraft systems,UAS,5"
"synonym,extended kalman filter,EKF,5"
"synonym,forward looking infrared,FLIR,5"
"synonym,unmanned aircraft,UAS,5"
"synonym,federal aviation administrations,FAA,5"
"synonym,general electric,GE,5"
"synonym,unmanned aircraft vehicles,UAV,5"
"synonym,broad area maritime surveillance,BAMS,5"
"synonym,united launch alliance,ULA,5"
"synonym,unmanned systems,JARUS,5"
"synonym,quality of service,QoS,5"
"synonym,united arab emirates,UAE,5"
"synonym,small unmanned aircraft systems,UASs,5"
"synonym,adaptive cruise control,ACC,5"
"synonym,uav ground control station,GCS,5"
"synonym,china electronics technology group corporation,CETC,5"
"synonym,international air transport association,IATA,5"
"synonym,federally administered tribal areas,FATA,5"
"synonym,small business innovation research,SBIR,5"
"sibling,CS,SE,5"
"synonym,target acquisition,RSTA,5"
"synonym,electromagnetic interference,EMI,5"
"synonym,thermal infrared,TIR,5"
"synonym,unmanned aerial systems,UAVs,5"
"synonym,automatic voltage regulation,AVR,5"
"synonym,tactical mapping on demand,TMOD,5"
"synonym,northern california regional intelligence center,NCRIC,5"
"sibling,package deliveries,search_and_rescue,5"
"sibling,JMS,ibm_websphere,5"
"synonym,quality management system,QMS,5"
"synonym,north atlantic treaty organization,NATO,5"
"synonym,advisory circular,AC,5"
"synonym,small unit remote scouting system,SURSS,5"
"synonym,operations nasa technical reports server,NTRS,5"
"synonym,industrial unmanned aerial vehicle,UAV,5"
"sibling,I2C,SPI,5"
"synonym,lightning nitrogen oxides model,LNOM,5"
"ancestor,quality standards,ISO,5"
"synonym,DOT,AD,5"
"synonym,operating system,OS,5"
"synonym,software defined radio,SDR,5"
"synonym,texas instruments,TI,5"
"synonym,visual observer,VO,5"
"synonym,improvised explosive devices,IEDs,5"
"synonym,building information modeling,BIM,5"
"synonym,received signal strength indication,RSSI,5"
"synonym,united states air force,USAF,5"
"synonym,aviation rulemaking advisory committee,ARAC,5"
"synonym,special security instructions,SSI,5"
"synonym,wright state research institute,WSRI,5"
"synonym,world food program,WFP,5"
"synonym,canadian aviation regulations,CARs,5"
"synonym,message exchange pattern,MEP,4"
"ancestor,industry leaders,DJI,4"
"synonym,real time kinematic,RTK,4"
"synonym,degrees of freedom,DOFs,4"
"synonym,aviation week intelligence network,AWIN,4"
"synonym,aging aircraft nasa technical reports server,NTRS,4"
"synonym,simple network management protocol,SNMP,4"
"synonym,object management group,OMG,4"
"sibling,GPS,GLONASS,4"
"synonym,multiobjective optimization problem,MOP,4"
"synonym,drone delivery,main_stage,4"
"synonym,partially observable markov decision process,POMDP,4"
"synonym,VoIP,voice_over_ip,4"
"synonym,marshall space flight center,MSFC,4"
"synonym,marine corps,USMC,4"
"sibling,drone deliveries,search_and_rescue,4"
"synonym,micro air vehicle communication protocol,MAVLink,4"
"synonym,unmanned aircraft systems,UASes,4"
"synonym,random access memory,RAM,4"
"synonym,drone policy template,tech_pro_research,4"
"sibling,RGB,NIR,4"
"synonym,northwest uav,NWUAV,4"
"synonym,fog remote sensing and modeling,FRAM,4"
"synonym,regions of interest,ROIs,4"
"synonym,privacy impact assessment,PIA,4"
"synonym,certificates of authorization,COAs,4"
"synonym,certificate of authority,COA,4"
"synonym,IoT,internet_of_things,4"
"synonym,proportional integral derivative,PID,4"
"sibling,NASA,FAA,4"
"synonym,environmental protection agency,EPA,4"
"synonym,operator control unit,OCU,4"
"synonym,air force research laboratory,AFRL,4"
"synonym,national lightning detection network,NLDN,4"
"synonym,UAS,unmanned_aerial_system,4"
"synonym,remotely piloted aircraft,RPAs,4"
"synonym,stockholm international peace research institute,SIPRI,4"
"synonym,global position system,GPS,4"
"synonym,metropolitan manila development authority,MMDA,4"
"synonym,platforms unmanned aerial vehicles,UAV,4"
"synonym,direct georeferencing,DG,4"
"synonym,radio frequencies,RF,4"
"synonym,large igneous provinces,LIPs,4"
"synonym,air force special operations command,AFSOC,4"
"synonym,unmanned arial vehicle,UAV,4"
"sibling,fixed wing,rotary_wing,4"
"synonym,lightweight directory access protocol,LDAP,4"
"synonym,market presence,media_presence,4"
"synonym,small unmanned aerial vehicles,UAV,4"
"synonym,crop surface models,CSMs,4"
"synonym,low cost uav swarming technology,LOCUST,4"
"synonym,small unmanned aerial vehicle,SUAV,4"
"synonym,western australia,WA,4"
"synonym,civil aviation,FOCA,4"
"synonym,UAVS,unmanned_aircraft_vehicle_system,4"
"synonym,based high throughput plant phenotyping,HTPP,4"
"synonym,affect medium altitude long endurance,MALE,4"
"synonym,mission planning,STOMP,4"
"synonym,community multiscale air quality,CMAQ,4"
"synonym,flight control system,FCS,4"
"synonym,pardee rand graduate school,PRGS.edu,4"
"synonym,uas service suppliers,USSs,4"
"synonym,user interface,UI,4"
"synonym,enterprise service bus,ESB,4"
"synonym,export corporation,CATIC,4"
"synonym,uncertainty based navigation,UBNAV,4"
"synonym,payload operations integration center,POIC,4"
"synonym,minimum operational performance standards,MOPS,4"
"synonym,model reference adaptive control,MRAC,4"
"synonym,small unmanned aerial system,UAS,4"
"synonym,small unmanned aircraft system,SUAS,4"
"synonym,air line pilots association,ALPA,4"
"synonym,fiscal year,FY,4"
"synonym,high throughput field phenotyping,HTFP,4"
"synonym,unattended ground sensors,UGSs,4"
"ancestor,potentially unsafe,urban_areas,4"
"synonym,european space agency,ESA,4"
"synonym,the open group architecture framework,TOGAF,4"
"synonym,deep borehole field test,DBFT,4"
"sibling,farmland surveys,search_and_rescue,4"
"synonym,EMI,electromagnetic_interference,4"
"synonym,instant messaging,IM,4"
"synonym,ground penetrating radar,GPR,4"
"synonym,high resolution,leaf_level,4"
"synonym,terminal sliding mode control,TSMC,4"
"synonym,mulesoft managed,cloud_based,4"
"sibling,FAA,NASA,4"
"synonym,post buckled precompressed,PBP,4"
"sibling,package deliveries,farmland_surveys,4"
"synonym,small uas,SUAS,4"
"synonym,RGB,conventional_digital_cameras,4"
"sibling,README,TODO,4"
"synonym,carrington research extension center,CREC,4"
"synonym,business process management,BPM,4"
"synonym,BVLOS,beyond_visual_line_of_sight,4"
"synonym,UAVs,unmanned_aerial_vehicle,4"
"synonym,drones remote unmanned aircraft systems,UAS,4"
"sibling,USB,uart_connection,4"
"synonym,advanced robotic systems engineering laboratory,ARSENL,4"
"synonym,TLS,terrestrial_laser_scanner,4"
"synonym,IEDs,improvised_explosive_devices,4"
"synonym,small unmanned aerial systems,SUAS,4"
"synonym,noise ratio,SNR,4"
"synonym,unmanned combat air vehicles,UCAVs,4"
"synonym,GCPs,ground_control_points,4"
"synonym,defence advanced research projects agency,DARPA,4"
"sibling,EO,IR,4"
"ancestor,FAA,decision_makers,4"
"sibling,collective decision making,adaptive_formation_flying,4"
"synonym,sierra nevada corporation,SNC,4"
"synonym,screening information request,SIR,4"
"synonym,tactical common data link,TCDL,4"
"synonym,RTK,real_time_kinematics,4"
"synonym,visual basic nasa technical reports server,NTRS,4"
"synonym,drone traffic control centre,DTCC,4"
"synonym,special operations command,SOCOM,4"
"synonym,radio positioning system,RPS,4"
"synonym,multi view stereo,sfm_mvs,4"
"synonym,ice nucleation,IN,4"
"synonym,integrated system health management,ISHM,4"
"synonym,RM,nasa_ames_research_center,4"
"ancestor,terrorist organizations,al_qaeda,4"
"synonym,simple object access protocol,SOAP,4"
"synonym,strategic capabilities office,SCO,4"
"synonym,stream quarter video graphics array,QVGA,4"
"synonym,health management nasa technical reports server,NTRS,4"
"sibling,SR,TT,4"
"synonym,federal aviation regulations,FARs,4"
"synonym,aerial systems,UAS,4"
"synonym,data distribution service,DDS,4"
"synonym,intelligent ground vehicle competition,IGVC,4"
"synonym,visual line of sight,BVLOS,4"
"synonym,combat search and rescue,CSAR,4"
"synonym,mean sea level,MSL,4"
"synonym,small unmanned aircraft,SUA,4"
"synonym,large space structure,LSS,4"
"synonym,micro electro mechanical systems,MEMS,4"
"synonym,remotely piloted vehicle,RPV,4"
"ancestor,research efforts,multimillion_dollar,4"
"synonym,fuel storage tanks,FST,4"
"synonym,faa certified remote pilot,unmanned_aircraft_systems,4"
"synonym,technical steering committee,TSC,4"
"synonym,national weather service,NWS,4"
"synonym,controller area network,CAN,4"
"sibling,news gathering,package_delivery,4"
"synonym,flight stack,PX4,4"
"synonym,united states special operations command,USSOCOM,4"
"synonym,windows communication foundation,WCF,4"
"synonym,UTM,uas_air_traffic_management,4"
"synonym,underground storage tanks,UST,4"
"synonym,controls testbed nasa technical reports server,NTRS,4"
"synonym,ground control segment,OCX,4"
"synonym,current time indicator,CTI,4"
"synonym,nanyang technological university,NTU,4"
"synonym,java message service,JMS,4"
"synonym,new york city drone film festival,NYCDFF,3"
"synonym,weblogic server initializing weblogic scripting tool,WLST,3"
"synonym,japan uav association,JUAV,3"
"synonym,micro electro mechanical system,MEMS,3"
"sibling,fixed wing,multi_rotor,3"
"synonym,aerial vehicles,UAV,3"
"synonym,PM,EST,3"
"synonym,system of systems,SoS,3"
"synonym,genetic algorithm,GA,3"
"synonym,tactically exploited reconnaissance node,TERN,3"
"synonym,small unmanned aerial system,SUAS,3"
"synonym,intelligent orientation control,IOC,3"
"synonym,international drone expo,IDE,3"
"synonym,do it yourself,DIY,3"
"synonym,remotely operated video enhanced receiver,ROVER,3"
"synonym,eastward equatorial electric field,EEF,3"
"synonym,mobile directional antenna system,MDAS,3"
"synonym,tactical unmanned aerial systems,UAS,3"
"synonym,movement tracking system,MTS,3"
"synonym,unmanned aircraft systems,coe_uas,3"
"synonym,over the horizon,OTH,3"
"synonym,kansas department of transportation,KDOT,3"
"synonym,national renewable energy laboratory,NREL,3"
"synonym,synthetic aperture radars,SARs,3"
"synonym,enterprise resource planning,ERP,3"
"synonym,private pilot licence,PPL,3"
"synonym,and energy,AEE,3"
"synonym,initial coin offering,ICO,3"
"sibling,UAV,general_aviation,3"
"synonym,unmanned air systems,UAS,3"
"synonym,collaborative decision making,CDM,3"
"synonym,advanced concept technology demonstration,ACTD,3"
"synonym,pacific northwest national laboratory,PNNL,3"
"synonym,contracting officer,CO,3"
"synonym,aircraft structures nasa technical reports server,NTRS,3"
"synonym,occupational employment statistics,OES,3"
"synonym,graphics processing units,GPUs,3"
"synonym,special operations forces,SOF,3"
"synonym,north dakota state university,NDSU,3"
"synonym,private pilot certificate,single_engine_land,3"
"synonym,humanitarian affairs,OCHA,3"
"synonym,nondestructive inspection,NDI,3"
"synonym,faa civil aerospace medical institute,CAMI,3"
"synonym,amazon web services,AWS,3"
"synonym,area control center,ACC,3"
"synonym,javascript object notation,JSON,3"
"synonym,international civil aviation organisation,ICAO,3"
"synonym,national army,FARDC,3"
"synonym,defense threat reduction agency,DTRA,3"
"synonym,turkish aerospace industries,TAI,3"
"synonym,remotely operated vehicle,ROV,3"
"ancestor,commercial applications,real_estate,3"
"synonym,virginia tech mid atlantic aviation partnership,MAAP,3"
"synonym,single unmanned autonomous vehicles,UAVs,3"
"synonym,first person video,FPV,3"
"synonym,unmanned air vehicles,UAV,3"
"synonym,joint agency coordination centre,JACC,3"
"synonym,comprise unmanned aircraft,UA,3"
"synonym,certification of authorization,COA,3"
"synonym,single board computers,SBCs,3"
"synonym,differential gps,DGPS,3"
"synonym,compact disk,CD,3"
"synonym,world wide lightning location network,WWLLN,3"
"synonym,JTAC,joint_terminal_attack_controller,3"
"synonym,ministry of defence,MoD,3"
"synonym,lockheed martin,US,3"
"synonym,special airworthiness certificate,SAC,3"
"synonym,national airport pavement test facility,NAPTF,3"
"synonym,event management,SIEM,3"
"synonym,cockroach swarm optimization,CSO,3"
"synonym,canadian lightning detection network,CLDN,3"
"synonym,major league baseball,MLB,3"
"synonym,field test borehole,FTB,3"
"synonym,return on invested capital,ROIC,3"
"sibling,nearby aircraft,airspace_restrictions,3"
"synonym,digital converter,ADC,3"
"synonym,analytical graphics13.17 nokia13.18 other companies,utm_startup,3"
"synonym,real time operating system,RTOS,3"
"synonym,do not track,DNT,3"
"synonym,deployable system,DS,3"
"synonym,technology center,OTC,3"
"synonym,magnetic field,milli_tesla,3"
"synonym,boundary waters canoe area wilderness,BWCAW,3"
"synonym,commercial pilot certificate,single_engine_land,3"
"synonym,vehicle intervention system,VIS,3"
"synonym,unified modelling language,UML,3"
"synonym,australian defence force,ADF,3"
"synonym,lightning detection and ranging,LDAR,3"
"synonym,frequently asked questions,FAQs,3"
"sibling,UAV,UAS,3"
"sibling,state department,FAA,3"
"synonym,underwater vehicles,UVs,3"
"synonym,remote control,RC,3"
"synonym,return on investment,ROI,3"
"synonym,aspect oriented programming,AOP,3"
"ancestor,smart flight modes,auto_takeoff,3"
"synonym,deep borehole disposal,DBD,3"
"synonym,compound annual growth rate,CAGR,3"
"sibling,APM,PX4,3"
"synonym,smart aircraft fastener evaluation,SAFE,3"
"synonym,advanced traffic management system,ATMS,3"
"ancestor,industry experts,CEOs,3"
"synonym,human machine interface,HMI,3"
"synonym,flapping wings,FWs,3"
"synonym,heterogeneous system architecture,HSA,3"
"synonym,automatic identification system,AIS,3"
"synonym,forest service manual,FSM,3"
"synonym,federal information processing standards,FIPS,3"
"synonym,environmental design tool,AEDT,3"
"synonym,fusion middleware,webutil_configuration,3"
"synonym,adaptive optics,lgs_ao,3"
"synonym,field programmable gate arrays,FPGAs,3"
"synonym,of economic development,GOED,3"
"synonym,UTMs,unmanned_traffic_management_systems,3"
"ancestor,multiple missions,collective_decision_making,3"
"synonym,software implementation,SI,3"
"synonym,certificated federal aviation administration,FAA,3"
"synonym,full motion video,FMV,3"
"synonym,national football league,NFL,3"
"synonym,small unmanned aircraft,UAS,3"
"synonym,center of excellence,COE,3"
"synonym,differential global positioning system,DGPS,3"
"sibling,aerial photography,security_patrols,3"
"synonym,airman certification standards,ACS,3"
"sibling,supply deliveries,aerial_survey,3"
"synonym,environmental protection agency,CONTINUED,3"
"synonym,early implementation project,EIP,3"
"sibling,UAVs,general_aviation_aircraft,3"
"sibling,hero5 black,karma_grip,3"
"synonym,interplanetary coronal mass ejections,ICMEs,3"
"sibling,humanitarian actors,MONUSCO,3"
"synonym,national contact points,NCP,3"
"synonym,flight information region,FIR,3"
"synonym,airport improvement program,AIP,3"
"synonym,helicopter association international,HAI,3"
"synonym,forward collision warning,FCW,3"
"synonym,aircraft design nasa technical reports server,NTRS,3"
"synonym,global positioning system,rtk_gps,3"
"synonym,communications intelligence,COMINT,3"
"synonym,lockheed martin,LMT,3"
"synonym,tropical rainfall measuring mission,TRMM,3"
"synonym,special federal aviation regulation,SFAR,3"
"synonym,department of transportation,USDOT,3"
"synonym,internet service provider,ISP,3"
"synonym,GPS,global_positioning_system,3"
"sibling,flying robots,artificially_intelligent,3"
"synonym,just in time,JIT,3"
"synonym,defense innovation unit experimental,DIUx,3"
"synonym,uas integration pilot program,IPP,3"
"synonym,technology readiness level,TRL,3"
"sibling,MAVLink,PX4,3"
"synonym,remote video terminal,RVT,3"
"synonym,safety management systems,SMS,3"
"synonym,united electronic industries,UEI,3"
"synonym,message passing interface,MPI,3"
"synonym,micro aerial vehicles,MAVs,3"
"synonym,camera drone,model_bebop,3"
"synonym,electronic speed control,ESC,3"
"synonym,access management,IAM,3"
"synonym,standardized field sobriety test,SFST,3"
"synonym,AI,artificial_intelligence,3"
"synonym,UTM,uav_traffic_management,3"
"synonym,asian consumer insight,ACI,3"
"synonym,continuous integration,CI,3"
"synonym,lithium polymer,LiPo,3"
"synonym,beyond line of sight,BLoS,3"
"ancestor,national security concerns,chemical_facilities,3"
"synonym,SDK,software_development_kit,3"
"synonym,federal enterprise architecture framework,FEAF,3"
"synonym,time of flight,TOF,3"
"sibling,CEOs,VPs,3"
